Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Locus
ENSG00000120889,5482.647224788805,1.8614245111898318,0.2649576025832859,7.025367428755768,2.135036468341189e-12,5.068265216357016e-10,Prot.218
ENSG00000188404,22509.122127915944,-1.7868834837893222,0.25495869907015933,-7.008521342108076,2.4084988885178735e-12,5.63572685584059e-10,Prot.218
ENSG00000082438,807.7873758481321,-2.83085596050428,0.4039665223480447,-7.0076499014076825,2.423543077240677e-12,5.63572685584059e-10,Prot.218
ENSG00000113384,2399.224418646916,2.124921495403883,0.3037998142882296,6.994479244111278,2.662459936801167e-12,6.128767626238566e-10,Prot.218
ENSG00000116096,394.2476881913688,3.9662725432017583,0.569748918715236,6.961439351470056,3.3681355621939937e-12,7.675644132683892e-10,Prot.218
ENSG00000127951,1333.1708689245597,2.97843369260531,0.4307648969912352,6.914290633728013,4.7021028992941124e-12,1.057123126234418e-9,Prot.218
ENSG00000116691,7065.4850232941935,1.7784189583741845,0.25724206636936886,6.913406440378175,4.731517788227244e-12,1.057123126234418e-9,Prot.218
ENSG00000143333,533.7341035376592,4.130594235880615,0.5978957901499925,6.908552132210839,4.896250613431852e-12,1.0775835288030625e-9,Prot.218
ENSG00000161011,26836.261146318022,1.6845392962941745,0.24385577116352455,6.907932866450628,4.91766584736138e-12,1.0775835288030625e-9,Prot.218
ENSG00000155629,9896.46300231262,1.7510818015270433,0.2536117749410867,6.904576106270359,5.035355658994372e-12,1.0928640010745024e-9,Prot.218
ENSG00000138623,597.8508204305692,3.1142385281270193,0.4539854481149315,6.859776103084728,6.8968556857604486e-12,1.4827589077622157e-9,Prot.218
ENSG00000217801,242.6750418180019,4.105349877176631,0.5994069332256499,6.849019671968244,7.435777254518528e-12,1.5836815687217078e-9,Prot.218
ENSG00000198400,11346.403912722697,1.9252863714004897,0.2819615443155214,6.828187780267122,8.5993980096195e-12,1.8088594166830171e-9,Prot.218
ENSG00000147872,85216.5735965485,1.6719497832751464,0.24489122152021214,6.827316115686702,8.651791496706694e-12,1.8088594166830171e-9,Prot.218
ENSG00000112077,4536.118421716939,-1.979659168947187,0.2907828980710659,-6.808031634870659,9.894311093449893e-12,2.049831413714815e-9,Prot.218
ENSG00000140284,6411.3151084882165,1.777551907522851,0.2624111089840184,6.7739201835052985,1.253388384656909e-11,2.5732853962113785e-9,Prot.218
ENSG00000169908,3679.824948728953,1.9860939280241725,0.29341014883268174,6.769002149127262,1.2967361712377585e-11,2.6385107684229712e-09,Prot.218
ENSG00000151929,650.0517567285834,2.760456309264619,0.40836437229856126,6.759787328475385,1.38194440366042e-11,2.7870027446917976e-9,Prot.218
ENSG00000162892,126.66047861471658,6.055667614707794,0.8987741165431044,6.73769693991557,1.6091675653496747e-11,3.2167824251538366e-09,Prot.218
ENSG00000277632,440.459814808504,3.357121267232753,0.49941516530563135,6.722105175116713,1.7911758165583134e-11,3.5494874507432523e-9,Prot.218
ENSG00000149573,1777.3962855056243,2.5311246098854383,0.3798429065653244,6.6636089976584625,2.671837217755908e-11,5.2490084789171884e-9,Prot.218
ENSG00000136802,1764.6828698250465,2.0466935428448116,0.3082866993167239,6.638929111703597,3.159702998502206e-11,6.154399284860407e-9,Prot.218
ENSG00000169507,219.65296914834641,-4.245364218000349,0.642135336983099,-6.611323148708894,3.808999788801172e-11,7.356211541270331e-9,Prot.218
ENSG00000176170,1367.7475996707906,2.2370696115918665,0.3385066576847392,6.608642875424071,3.878591015100919e-11,7.4276647599272975e-9,Prot.218
ENSG00000134202,6609.646305224683,1.6988364808747207,0.25733776612184994,6.601582451253262,4.067919153476603e-11,7.725317465714859e-9,Prot.218
ENSG00000087245,2106.6566985887666,2.2561450730694714,0.34212618327601507,6.594482338258499,4.267422092476383e-11,8.037213393838371e-9,Prot.218
ENSG00000184564,281.46860395199917,3.998681989164728,0.6065091293039778,6.592946084345943,4.311831983964263e-11,8.054290088734556e-9,Prot.218
ENSG00000141540,1603.9670074742226,2.14062051525518,0.32601029001016824,6.5661133431966645,5.1645510976422106e-11,9.568695525542141e-9,Prot.218
ENSG00000137809,471.91029940284716,3.207472719532315,0.48900330428333005,6.55920459317366,5.409554156352037e-11,9.94180077976666e-9,Prot.218
ENSG00000162599,3415.145216597034,-1.7997560158792711,0.27621912638585844,-6.515682094241151,7.236008174630127e-11,1.3136275207220614e-8,Prot.218
ENSG00000137801,17233.33589910686,7.433990720700104,1.1410361740643495,6.515122736398766,7.26302460006932e-11,1.3136275207220614e-8,Prot.218
ENSG00000185088,10163.11295091263,1.6536873166163397,0.2540681301511699,6.508834128988944,7.573629284202801e-11,1.359019194942501e-8,Prot.218
ENSG00000115738,15533.067884852926,1.6352249482027092,0.25228455906118213,6.481668772309394,9.071361780651714e-11,1.6150567470255617e-8,Prot.218
ENSG00000178209,2258.7832264679755,1.9351555274008325,0.3042563789364716,6.360279229527315,2.0138731446610586e-10,3.5576864413706096e-8,Prot.218
ENSG00000276023,3558.7911199811133,1.75666928252091,0.2764512255323492,6.3543552000472205,2.0930269608719698e-10,3.6690762624085635e-8,Prot.218
ENSG00000134107,10189.846931639708,1.8090035608612849,0.2855233214618716,6.335747117255558,2.3619391429026875e-10,4.1088726051610184e-8,Prot.218
ENSG00000151789,306.64064800070634,-3.485522649690402,0.5513912859877176,-6.32132341998608,2.593326050002049e-10,4.47722025405278e-8,Prot.218
ENSG00000140961,659.58217079923,2.5098182742059074,0.39730800282425555,6.317059451017641,2.665870485718902e-10,4.5678588345148915e-8,Prot.218
ENSG00000066027,2125.130397038978,1.9940760613792898,0.315927802134256,6.311809368812345,2.7579181926700003e-10,4.674754665923321e-8,Prot.218
ENSG00000182484,5940.565627009975,1.7392046678655697,0.2755754989751543,6.311173069933822,2.7692828992042143e-10,4.674754665923321e-8,Prot.218
ENSG00000170340,3470.2961479500686,2.6840309181392072,0.4260229074529319,6.30020327823744,2.9725554171102196e-10,4.9809974559209404e-8,Prot.218
ENSG00000235750,3245.8092973789694,-1.7433023447463816,0.2768208320210695,-6.297583646499894,3.0232122923028403e-10,5.028904009437184e-8,Prot.218
ENSG00000184702,278.85200898238253,3.541973216462002,0.5628289216383927,6.293161350257788,3.1106470319873344e-10,5.1368503776782144e-8,Prot.218
ENSG00000070214,4073.965891866036,1.6881836893604534,0.2684651500236264,6.288278717784725,3.210052103689611e-10,5.262868877049104e-8,Prot.218
ENSG00000140931,937.7093130947904,2.3428216708088265,0.372722212733137,6.285704448975915,3.263703321415357e-10,5.2959908044445205e-8,Prot.218
ENSG00000103642,1121.6799052889442,2.146501558561461,0.3415230483890697,6.285085497702997,3.2767330880103446e-10,5.2959908044445205e-8,Prot.218
ENSG00000145708,1662.0651791135117,2.407923009270134,0.3834711771458612,6.279280302608585,3.4014386951346487e-10,5.4588300298185576e-8,Prot.218
ENSG00000230164,414.93319241831756,-2.9603128345743692,0.472377214445209,-6.2668408721854965,3.6844632233186764e-10,5.871694573161491e-8,Prot.218
ENSG00000138395,3603.7022447015624,-1.743082357499828,0.2784546487008192,-6.259842906672579,3.853654727832069e-10,6.098676221705905e-8,Prot.218
ENSG00000170180,374.2077425968356,-3.594848346740129,0.5748848531845908,-6.253162397350296,4.022234998419646e-10,6.300363303233095e-8,Prot.218
ENSG00000130340,1757.0466608451572,1.9650035089651066,0.3142779417999324,6.2524385189464455,4.0409284218389633e-10,6.300363303233095e-8,Prot.218
ENSG00000186049,163.8988237934325,-6.318860856363225,1.010767362357859,-6.251548171898779,4.064037059876541e-10,6.300363303233095e-8,Prot.218
ENSG00000170412,711.0038877858008,2.545511290729652,0.40760675082740333,6.245017496796861,4.2375267737327556e-10,6.522674595010219e-8,Prot.218
ENSG00000183695,397.22680608992687,-3.058639856328978,0.4898511479615003,-6.244018961795657,4.264682586583538e-10,6.522674595010219e-8,Prot.218
ENSG00000140564,1555.4201978555052,1.9582800396591544,0.3139840187925415,6.236878065291112,4.463896601226492e-10,6.781849309690035e-8,Prot.218
ENSG00000154217,829.8908060363517,2.3325339786519597,0.3741290332716568,6.234570886559066,4.530181596766738e-10,6.836974066802464e-8,Prot.218
ENSG00000122574,346.33249393551387,3.160033853096414,0.5082867876850153,6.217029302470642,5.066551769622605e-10,7.596161070916418e-8,Prot.218
ENSG00000115963,347.49434043927505,3.1337968267521004,0.5042910734691326,6.2142619443846225,5.156644496056568e-10,7.680704014420465e-8,Prot.218
ENSG00000134851,5646.775787954652,1.7827656753632533,0.2882125882315272,6.1855926776214245,6.186957316197176e-10,9.155491576546588e-8,Prot.218
ENSG00000120875,442.7449285689753,2.910513024702775,0.47200884010100047,6.166225666620954,6.993925360619693e-10,1.0282875164074981e-7,Prot.218
ENSG00000137714,1250.240409167072,2.21812339816024,0.36025096516661864,6.157161569669473,7.406028318892302e-10,1.0818973035848505e-7,Prot.218
ENSG00000233093,418.7798373447405,4.372817652353261,0.7117762450020436,6.143528507811757,8.070817895966114e-10,1.1715023505170176e-7,Prot.218
ENSG00000202198,502.07764917394695,2.6961949214695804,0.4426486357457389,6.09104988413044,1.12172587879774e-9,1.6179120918937784e-7,Prot.218
ENSG00000113369,1547.4303223511047,2.008872405797393,0.3303468733189637,6.081100104306853,1.1936073944527698e-9,1.7107621957348534e-7,Prot.218
ENSG00000233276,19852.117417386078,1.7003526348661364,0.280389904168258,6.0642434324089605,1.3257622713518776e-9,1.8882997751148712e-7,Prot.218
ENSG00000019991,2836.4928518311713,-1.948508159380235,0.3222378621908121,-6.046800789121523,1.4775025806369595e-9,2.0913544292009734e-7,Prot.218
ENSG00000171223,3515.8656854496685,1.6552834643857683,0.2742079733457809,6.036598586790282,1.5739660614027167e-9,2.2141427514386735e-7,Prot.218
